spp,rcp,zone,year,total_value
yft,rcp45,Outside,2052,159.75146048906814
yft,rcp85,CCZ,2052,7.343699371839951
yft,rcp85,Outside,2052,153.02033101094867
yft,rcp45,CCZ,2053,7.286033102767154
yft,rcp45,Outside,2053,160.53601146544347
yft,rcp85,CCZ,2053,7.862386273947777
yft,rcp85,Outside,2053,156.7059460059139
yft,rcp45,CCZ,2054,7.240167467592983
yft,rcp45,Outside,2054,161.10143394862644
yft,rcp85,CCZ,2054,7.892370740242768
yft,rcp85,Outside,2054,157.7528264791816
yft,rcp45,CCZ,2055,7.1259370857151225
yft,rcp45,Outside,2055,161.36602959281404
yft,rcp85,CCZ,2055,7.536071564662659
yft,rcp85,Outside,2055,159.45072465508625
bet,historical,CCZ,1980,2.7874427434677878
bet,historical,Outside,1980,70.8116857028411
bet,historical,CCZ,1981,2.8110020296492926
bet,historical,Outside,1981,73.90993218876731
bet,historical,CCZ,1982,2.8415744422624507
bet,historical,Outside,1982,76.51579708747643
bet,historical,CCZ,1983,3.010981959135582
bet,historical,Outside,1983,78.87414880473322
bet,historical,CCZ,1984,3.025422624933223
bet,historical,Outside,1984,80.7933374410107
bet,historical,CCZ,1985,3.129653468572845
bet,historical,Outside,1985,82.67493958016469
bet,historical,CCZ,1986,3.0673058764077723
bet,historical,Outside,1986,84.16028346169817
bet,historical,CCZ,1987,3.094870022808512
bet,historical,Outside,1987,85.08344583692572
bet,historical,CCZ,1988,3.1331457630731165
bet,historical,Outside,1988,85.84917534431831
bet,historical,CCZ,1989,3.149870734040936
bet,historical,Outside,1989,86.55570852999033
bet,historical,CCZ,1990,3.276955174126973
bet,historical,Outside,1990,87.12802635129385
bet,historical,CCZ,1991,3.2973922796857855
bet,historical,Outside,1991,87.36680879082996
bet,historical,CCZ,1992,3.3170756401183703
bet,historical,Outside,1992,87.25385068001924
bet,historical,CCZ,1993,3.2969018896110356
bet,historical,Outside,1993,87.69500388150725
bet,historical,CCZ,1994,3.3548642587848008
bet,historical,Outside,1994,88.21429320952545
bet,historical,CCZ,1995,3.347883297596127
bet,historical,Outside,1995,88.5969962059559
bet,historical,CCZ,1996,3.2870143918941417
bet,historical,Outside,1996,87.70702041388722
bet,historical,CCZ,1997,3.4141114843077958
bet,historical,Outside,1997,87.30838433988781
bet,historical,CCZ,1998,3.5017639570869505
bet,historical,Outside,1998,87.38926100952085
bet,historical,CCZ,1999,3.3453102324468396
bet,historical,Outside,1999,87.67026026969931
bet,historical,CCZ,2000,3.399189507588744
bet,historical,Outside,2000,87.8867921306907
bet,historical,CCZ,2001,3.4383035230760775
bet,historical,Outside,2001,88.5974564346058
bet,historical,CCZ,2002,3.4401150617438057
bet,historical,Outside,2002,88.1561951492137
bet,historical,CCZ,2003,3.3772106611480317
bet,historical,Outside,2003,88.15189025564662
bet,historical,CCZ,2004,3.3405213941199086
bet,historical,Outside,2004,88.70176216445786
bet,historical,CCZ,2005,3.3730750082371137
bet,historical,Outside,2005,88.5831024449435
bet,historical,CCZ,2006,3.354459280303369
bet,historical,Outside,2006,88.21784580072078
bet,historical,CCZ,2007,3.4005889968636134
bet,historical,Outside,2007,87.94291226362111
bet,historical,CCZ,2008,3.3754171662343047
bet,historical,Outside,2008,87.93385634951603
bet,historical,CCZ,2009,3.424280919289837
bet,historical,Outside,2009,87.88638168707257
bet,historical,CCZ,2010,3.417269426242759
bet,historical,Outside,2010,87.93975909725607
bet,rcp45,CCZ,2011,3.3000384110200685
bet,rcp45,Outside,2011,87.58216851196023
bet,rcp85,CCZ,2011,3.2829605671286117
bet,rcp85,Outside,2011,87.62453315073435
bet,rcp45,CCZ,2012,3.3531470936529026
bet,rcp45,Outside,2012,88.05577853140251
bet,rcp85,CCZ,2012,3.3759103383248052
bet,rcp85,Outside,2012,88.22416052891397
bet,rcp45,CCZ,2013,3.40971177542815
bet,rcp45,Outside,2013,88.20849429006073
bet,rcp85,CCZ,2013,3.36270949303677
bet,rcp85,Outside,2013,88.61443356749078
bet,rcp45,CCZ,2014,3.3837382453687797
bet,rcp45,Outside,2014,88.3929741428013
bet,rcp85,CCZ,2014,3.3783132835718184
bet,rcp85,Outside,2014,88.72608320736617
bet,rcp45,CCZ,2015,3.5142145641730167
bet,rcp45,Outside,2015,88.95136853963292
bet,rcp85,CCZ,2015,3.545572826755233
bet,rcp85,Outside,2015,89.44056315777318
bet,rcp45,CCZ,2016,3.650448743971841
bet,rcp45,Outside,2016,89.19697197290225
bet,rcp85,CCZ,2016,3.5060948097961955
bet,rcp85,Outside,2016,89.88003550030407
bet,rcp45,CCZ,2017,3.5668843842480173
bet,rcp45,Outside,2017,88.9870532353804
bet,rcp85,CCZ,2017,3.557460236712359
bet,rcp85,Outside,2017,90.22372352166713
bet,rcp45,CCZ,2018,3.5959175511476738
bet,rcp45,Outside,2018,88.87278580089212
bet,rcp85,CCZ,2018,3.423308104868435
bet,rcp85,Outside,2018,90.25673983724725
bet,rcp45,CCZ,2019,3.448212223496133
bet,rcp45,Outside,2019,88.56577521203387
bet,rcp85,CCZ,2019,3.4462722744986727
bet,rcp85,Outside,2019,90.2771747436794
bet,rcp45,CCZ,2020,3.4100187943549827
bet,rcp45,Outside,2020,88.01367440279864
bet,rcp85,CCZ,2020,3.4962645660561975
bet,rcp85,Outside,2020,90.25714286181999
bet,rcp45,CCZ,2021,3.4519779477850534
bet,rcp45,Outside,2021,87.59250669611113
bet,rcp85,CCZ,2021,3.4705919320113026
bet,rcp85,Outside,2021,90.30129124878052
bet,rcp45,CCZ,2022,3.5025948240169478
bet,rcp45,Outside,2022,87.66628426595526
bet,rcp85,CCZ,2022,3.589667952279948
bet,rcp85,Outside,2022,90.22252749461768
bet,rcp45,CCZ,2023,3.500174027731797
bet,rcp45,Outside,2023,87.81000935570955
bet,rcp85,CCZ,2023,3.623902098935408
bet,rcp85,Outside,2023,89.97646750478695
bet,rcp45,CCZ,2024,3.5581879158659526
bet,rcp45,Outside,2024,87.92927364729076
bet,rcp85,CCZ,2024,3.653887650357016
bet,rcp85,Outside,2024,89.75187147726501
bet,rcp45,CCZ,2025,3.5752013330444847
bet,rcp45,Outside,2025,87.81531020300524
bet,rcp85,CCZ,2025,3.608437354036141
bet,rcp85,Outside,2025,90.09782366019924
